City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Pocatello,US,2021-01-20 20:01:44,42.8713,-112.4455,30.0,64,75,5.26
132,Cabo Rojo,PR,2021-01-20 20:01:45,18.0866,-67.1457,84.0,68,100,4.0
133,Veraval,IN,2021-01-20 20:01:45,20.9,70.3667,68.2,44,0,11.07
134,Cravo Norte,CO,2021-01-20 20:01:45,6.3017,-70.2041,91.56,40,80,10.94
135,Russell,US,2021-01-20 20:01:45,32.3502,-85.1999,62.6,27,1,10.36
136,Tigil,RU,2021-01-20 20:01:45,57.8,158.6667,-17.84,88,93,2.15
137,Ginir,ET,2021-01-20 20:01:45,7.1333,40.7,64.65,27,100,5.23
138,Pisco,PE,2021-01-20 20:01:45,-13.7,-76.2167,77.0,65,0,9.22
139,Ahuimanu,US,2021-01-20 20:01:46,21.4447,-157.8378,77.0,69,75,10.36
140,Mehamn,NO,2021-01-20 20:01:46,71.0357,27.8492,21.2,79,75,13.8
141,Bay Roberts,CA,2021-01-20 20:01:46,47.5999,-53.2648,27.0,68,100,11.01
142,Tabuk,PH,2021-01-20 20:01:46,17.4189,121.4443,72.19,94,100,1.36
143,Avarua,CK,2021-01-20 19:59:48,-21.2078,-159.775,84.2,70,20,9.22
144,Kieta,PG,2021-01-20 20:01:46,-6.2167,155.6333,78.31,76,92,4.92
145,Portobelo,PA,2021-01-20 20:01:46,9.55,-79.65,89.01,74,95,18.01
146,Utete,TZ,2021-01-20 20:01:46,-7.986,38.758,74.55,94,100,3.89
147,Hithadhoo,MV,2021-01-20 20:01:47,-0.6,73.0833,81.84,73,75,10.8
148,Talnakh,RU,2021-01-20 20:01:47,69.4865,88.3972,-38.25,80,88,0.96
149,Thompson,CA,2021-01-20 19:56:48,55.7435,-97.8558,1.4,78,90,13.8
150,General Roca,AR,2021-01-20 20:01:47,-39.0333,-67.5833,100.4,23,0,3.44
151,Salcininkai,LT,2021-01-20 20:01:47,54.3,25.3833,19.4,86,90,18.41
152,Sao Filipe,CV,2021-01-20 20:01:48,14.8961,-24.4956,72.01,70,82,7.96
153,Usinsk,RU,2021-01-20 20:01:48,65.9939,57.5281,-4.92,92,100,7.9
154,Dicabisagan,PH,2021-01-20 20:01:48,17.0818,122.4157,77.05,90,100,9.55
155,Saldanha,ZA,2021-01-20 20:01:48,-33.0117,17.9442,68.0,64,0,6.91
156,Paracuru,BR,2021-01-20 20:01:48,-3.41,-39.0306,77.0,80,100,1.01
157,Nikolskoye,RU,2021-01-20 20:01:48,59.7035,30.7861,15.8,92,90,2.24
158,Ciudad Arce,SV,2021-01-20 20:01:48,13.8403,-89.4472,86.0,42,20,6.91
159,Margate,GB,2021-01-20 20:01:48,51.3813,1.3862,48.99,73,100,8.99
160,Tiksi,RU,2021-01-20 20:01:48,71.6872,128.8694,-26.55,86,100,4.32
161,Lavrentiya,RU,2021-01-20 20:01:49,65.5833,-171.0,-12.51,84,7,11.99
162,Buala,SB,2021-01-20 20:01:49,-8.145,159.5921,80.13,81,100,7.99
163,Sao Joao Da Barra,BR,2021-01-20 20:01:31,-21.6403,-41.0511,86.0,51,0,19.57
164,Bako,ET,2021-01-20 20:01:49,5.7833,36.5667,72.27,39,100,3.78
165,Moose Factory,CA,2021-01-20 20:01:49,51.2585,-80.6094,-2.2,71,75,17.27
166,Tucuman,AR,2021-01-20 20:01:49,-26.8241,-65.2226,86.0,39,0,6.91
167,Agadez,NE,2021-01-20 20:01:49,19.75,10.25,54.43,37,0,2.1
168,Sur,OM,2021-01-20 20:01:50,22.5667,59.5289,70.02,61,0,5.82
169,Chapais,CA,2021-01-20 20:01:50,49.7834,-74.8492,1.4,66,1,5.75
170,Clarence Town,AU,2021-01-20 20:01:50,-32.5833,151.7833,60.01,100,34,3.44
171,Xai-Xai,MZ,2021-01-20 20:01:50,-25.0519,33.6442,77.77,77,40,10.4
172,Baculin,PH,2021-01-20 20:01:50,7.4525,126.5842,78.21,78,91,3.83
173,Deputatskiy,RU,2021-01-20 20:01:51,69.3,139.9,-31.18,85,100,0.49
174,Long Beach,US,2021-01-20 20:01:51,33.767,-118.1892,75.2,25,1,17.27
175,Sorland,NO,2021-01-20 20:01:51,67.667,12.6934,32.0,74,75,16.11
176,Longkou,CN,2021-01-20 20:01:52,37.6508,120.3286,35.2,91,90,3.06
177,Shitanjing,CN,2021-01-20 20:01:52,39.2342,106.3439,25.23,62,0,6.93
178,Port Alfred,ZA,2021-01-20 20:01:52,-33.5906,26.891,70.0,80,83,1.01
179,Dongobesh,TZ,2021-01-20 20:01:52,-4.0667,35.3833,56.44,95,99,4.52
180,Bengkulu,ID,2021-01-20 20:01:52,-3.8004,102.2655,77.07,80,100,5.26
181,Chokurdakh,RU,2021-01-20 20:01:53,70.6333,147.9167,-35.1,83,88,6.35
182,Nanchang,CN,2021-01-20 20:01:53,28.6833,115.8833,53.29,68,79,5.23
183,Churapcha,RU,2021-01-20 20:01:53,62.0025,132.4325,-39.15,80,100,2.17
