City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
117,Hithadhoo,MV,82.81,broken clouds,-0.6,73.0833,Scoop Guest House
118,San Patricio,US,68.0,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
119,Mecca,SA,75.92,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
120,Teknaf,BD,61.9,clear sky,20.8624,92.3058,Forestry Guesthouse
121,Kavieng,PG,81.14,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
122,Manyoni,TZ,64.44,overcast clouds,-5.7467,34.8382,bm lodge bm lodge
123,Lebu,CL,64.76,broken clouds,-37.6167,-73.65,Hostal Las Lilas
125,Codrington,AU,62.33,moderate rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
130,Am Timan,TD,81.82,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
132,Mar Del Plata,AR,82.4,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
135,Iguala,MX,80.6,broken clouds,18.3438,-99.5372,Gran Plaza Hotel Centro Historico
137,Praia,CV,78.8,broken clouds,14.9215,-23.5087,LT Aparthotel
139,Hambantota,LK,77.0,clear sky,6.1241,81.1185,Bungalow 63
144,Carnarvon,AU,75.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
145,Pisco,PE,80.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
153,Comodoro Rivadavia,AR,68.0,clear sky,-45.8667,-67.5,Austral Hotel
158,Lagoa,PT,61.99,overcast clouds,39.05,-27.9833,Casa Das Faias
161,Kareli,IN,63.28,few clouds,22.9167,79.0667,बस्ती तालाब Pond
165,Charlestown,AU,73.0,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
168,Los Llanos De Aridane,ES,68.0,few clouds,28.6585,-17.9182,Valle Aridane
169,Mareeba,AU,77.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
178,Kavaratti,IN,81.41,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
179,Vao,NC,76.32,light rain,-22.6667,167.4833,Hotel Kou-Bugny
