City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Lompoc,US,34.6391,-120.4579,50.0,87,90,3.38,overcast clouds
132,Mar Del Plata,AR,-38.0023,-57.5575,82.4,69,0,16.11,clear sky
133,Okahandja,NA,-21.9833,16.9167,75.87,66,100,0.94,moderate rain
134,Keetmanshoop,NA,-26.5833,18.1333,92.12,23,89,9.86,overcast clouds
135,Iguala,MX,18.3438,-99.5372,80.6,29,75,5.75,broken clouds
136,Leningradskiy,RU,69.3833,178.4167,-13.23,85,96,4.32,overcast clouds
137,Praia,CV,14.9215,-23.5087,78.8,50,66,17.27,broken clouds
138,Oka,CA,45.4649,-74.0889,10.99,66,99,14.97,overcast clouds
139,Hambantota,LK,6.1241,81.1185,77.0,94,8,10.36,clear sky
140,Port Hardy,CA,50.6996,-127.4199,37.4,93,75,3.44,broken clouds
141,Livingston,GB,55.9029,-3.5226,30.2,86,0,8.05,clear sky
142,Khatanga,RU,71.9667,102.5,-27.72,84,100,11.34,overcast clouds
143,Inuvik,CA,68.3499,-133.7218,-4.0,77,87,5.75,overcast clouds
144,Carnarvon,AU,-24.8667,113.6333,75.2,60,75,13.8,broken clouds
145,Pisco,PE,-13.7,-76.2167,80.01,78,0,10.36,clear sky
146,Modra,SK,48.334,17.3071,39.2,75,90,2.3,light rain
147,Burnie,AU,-41.0667,145.9167,57.99,82,50,8.01,scattered clouds
148,Komsomolskiy,UZ,40.4272,71.7189,26.6,46,100,4.61,light snow
149,Coari,BR,-4.085,-63.1414,89.28,55,9,5.46,clear sky
150,Yelan,RU,50.949,43.7378,33.96,94,100,10.25,overcast clouds
151,Mount Vernon,US,40.9126,-73.8371,32.0,40,75,23.02,broken clouds
152,Maldonado,UY,-34.6667,-54.9167,89.6,40,40,13.8,scattered clouds
153,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,42,0,11.5,clear sky
154,Price,US,39.5994,-110.8107,30.2,93,90,6.91,overcast clouds
155,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-2.2,65,1,11.18,clear sky
156,Margate,GB,51.3813,1.3862,37.0,75,95,8.01,overcast clouds
157,Goderich,CA,43.7501,-81.7165,21.2,93,100,12.66,light snow
158,Lagoa,PT,39.05,-27.9833,61.99,84,100,12.08,overcast clouds
159,Khor,RU,47.8861,134.9464,1.71,91,48,4.14,scattered clouds
160,Felanitx,ES,39.4696,3.1483,57.2,67,20,24.16,few clouds
161,Kareli,IN,22.9167,79.0667,63.28,36,16,2.75,few clouds
162,Kushima,JP,31.4583,131.2333,57.0,100,100,3.0,overcast clouds
163,Yar-Sale,RU,66.8333,70.8333,-39.5,80,18,4.03,few clouds
164,Henties Bay,NA,-22.116,14.2845,72.0,84,99,6.24,overcast clouds
165,Charlestown,AU,-32.95,151.6667,73.0,61,0,4.7,clear sky
166,Yamada,JP,39.4667,141.95,32.74,91,100,4.16,overcast clouds
167,Glinka,RU,54.6404,32.8781,33.19,98,99,8.21,overcast clouds
168,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,20,5.75,few clouds
169,Mareeba,AU,-17.0,145.4333,77.0,78,40,8.05,scattered clouds
170,Tabas,IR,33.5959,56.9244,35.19,63,22,1.95,few clouds
171,Katsuura,JP,35.1333,140.3,41.0,93,75,25.32,light rain
172,Vardo,NO,70.3705,31.1107,22.87,96,100,32.7,light snow
173,Southbridge,US,42.0751,-72.0334,27.0,30,5,11.01,clear sky
174,Vallenar,CL,-28.5708,-70.7581,90.09,19,0,12.19,clear sky
175,Opuwo,NA,-18.0607,13.84,73.58,57,99,15.95,overcast clouds
176,Qaanaaq,GL,77.484,-69.3632,17.26,79,100,2.44,overcast clouds
177,Bossier City,US,32.516,-93.7321,48.99,87,90,5.75,overcast clouds
178,Kavaratti,IN,10.5669,72.642,81.41,71,8,8.79,clear sky
179,Vao,NC,-22.6667,167.4833,76.32,81,98,27.11,light rain
180,Padang,ID,-0.9492,100.3543,77.0,83,90,2.3,overcast clouds
181,Nanortalik,GL,60.1432,-45.2371,24.84,88,0,5.68,clear sky
182,Sopelana,ES,43.3789,-2.9831,50.0,93,75,3.44,light rain
183,Severo-Kurilsk,RU,50.6789,156.125,22.59,95,95,34.02,light snow
184,Otjimbingwe,NA,-22.35,16.1333,72.99,76,97,11.36,moderate rain
185,Leland,US,34.2563,-78.0447,55.4,21,1,16.11,clear sky
186,Bambanglipuro,ID,-7.95,110.2833,77.79,80,100,2.89,overcast clouds
187,Goure,NE,13.9835,10.2704,73.0,14,37,4.0,scattered clouds
188,General Pico,AR,-35.6566,-63.7568,105.64,14,0,13.11,clear sky
189,Cherskiy,RU,68.75,161.3,-25.49,86,100,5.39,overcast clouds
190,Gao,ML,16.6362,1.637,74.1,16,37,9.82,scattered clouds
191,Katima Mulilo,NA,-17.5,24.2667,70.81,88,70,5.19,broken clouds
192,Homer,US,59.6425,-151.5483,37.99,93,90,6.91,light rain
193,Campbell River,CA,50.0163,-125.2446,30.99,100,20,2.3,few clouds
194,Laives,IT,46.4228,11.3348,39.0,87,40,1.14,scattered clouds
195,Baruun-Urt,MN,46.6806,113.2792,6.39,89,0,9.95,clear sky
196,Mackenzie,CA,55.2999,-123.1698,10.4,85,90,5.75,light snow
197,Luderitz,NA,-26.6481,15.1594,72.86,56,84,28.36,broken clouds
198,Gravelbourg,CA,49.8834,-106.5512,5.0,78,75,13.8,broken clouds
199,Yueyang,CN,29.3333,113.0919,46.8,80,0,2.64,clear sky
200,Geraldton,AU,-28.7667,114.6,71.6,73,75,8.05,broken clouds
